Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,50,2,1,-8.0,50,29,490,1,1,0.3,1
uct,50,2,2,-8.0,50,3,128,1,1,0.3,1
uct,50,2,3,-8.0,50,2,140,1,1,0.3,1
uct,50,2,4,-8.0,50,3,105,1,1,0.3,1
uct,50,2,5,-8.0,50,2,125,1,1,0.3,1
uct,50,2,6,-8.0,50,1,106,1,1,0.3,1
uct,50,2,7,-8.0,50,2,222,1,1,0.3,1
uct,50,2,8,-8.0,50,1,568,1,1,0.3,1
uct,50,2,9,-8.0,50,3,78,1,1,0.3,1
uct,50,2,10,-8.0,50,2,88,1,1,0.3,1
uct,50,2,1,-24.700000000000006,50,1,152,2,1,0.3,1
uct,50,2,2,-21.700000000000003,50,2,252,2,1,0.3,1
uct,50,2,3,-23.500000000000007,50,1,75,2,1,0.3,1
uct,50,2,4,-23.500000000000007,50,1,94,2,1,0.3,1
uct,50,2,5,-24.800000000000008,50,2,80,2,1,0.3,1
uct,50,2,6,-27.700000000000006,50,1,177,2,1,0.3,1
uct,50,2,7,-22.900000000000006,50,1,114,2,1,0.3,1
uct,50,2,8,-21.600000000000005,50,0,37,2,1,0.3,1
uct,50,2,9,-19.6,50,1,36,2,1,0.3,1
uct,50,2,10,-22.500000000000007,50,1,39,2,1,0.3,1
uct,50,2,1,-20.9,50,3,94,2,2,0.3,1
uct,50,2,2,-22.599999999999998,50,2,89,2,2,0.3,1
uct,50,2,3,-17.599999999999994,50,1,101,2,2,0.3,1
uct,50,2,4,-16.099999999999994,50,1,53,2,2,0.3,1
uct,50,2,5,-19.999999999999996,50,1,39,2,2,0.3,1
uct,50,2,6,-19.9,50,1,61,2,2,0.3,1
uct,50,2,7,-14.199999999999994,50,1,40,2,2,0.3,1
uct,50,2,8,-20.400000000000006,50,1,43,2,2,0.3,1
uct,50,2,9,-21.2,50,1,40,2,2,0.3,1
uct,50,2,10,-19.099999999999994,50,0,44,2,2,0.3,1
