Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,50,2,1,-8,50,29,490,1,1,0.3,1
uct,50,2,2,-8,50,3,128,1,1,0.3,1
uct,50,2,3,-8,50,2,140,1,1,0.3,1
uct,50,2,4,-8,50,3,105,1,1,0.3,1
uct,50,2,5,-8,50,2,125,1,1,0.3,1
uct,50,2,6,-8,50,1,106,1,1,0.3,1
uct,50,2,7,-8,50,2,222,1,1,0.3,1
uct,50,2,8,-8,50,1,568,1,1,0.3,1
uct,50,2,9,-8,50,3,78,1,1,0.3,1
uct,50,2,10,-8,50,2,88,1,1,0.3,1
uct,50,2,1,-24.7,50,1,152,2,1,0.3,1
uct,50,2,2,-21.7,50,2,252,2,1,0.3,1
uct,50,2,3,-23.5,50,1,75,2,1,0.3,1
uct,50,2,4,-23.5,50,1,94,2,1,0.3,1
uct,50,2,5,-24.8,50,2,80,2,1,0.3,1
uct,50,2,6,-27.7,50,1,177,2,1,0.3,1
uct,50,2,7,-22.9,50,1,114,2,1,0.3,1
uct,50,2,8,-21.6,50,0,37,2,1,0.3,1
uct,50,2,9,-19.6,50,1,36,2,1,0.3,1
uct,50,2,10,-22.5,50,1,39,2,1,0.3,1
uct,50,2,1,-20.9,50,3,94,2,2,0.3,1
uct,50,2,2,-22.6,50,2,89,2,2,0.3,1
uct,50,2,3,-17.6,50,1,101,2,2,0.3,1
uct,50,2,4,-16.1,50,1,53,2,2,0.3,1
uct,50,2,5,-20,50,1,39,2,2,0.3,1
uct,50,2,6,-19.9,50,1,61,2,2,0.3,1
uct,50,2,7,-14.2,50,1,40,2,2,0.3,1
uct,50,2,8,-20.4,50,1,43,2,2,0.3,1
uct,50,2,9,-21.2,50,1,40,2,2,0.3,1
uct,50,2,10,-19.1,50,0,44,2,2,0.3,1
uct,50,2,1,-57.4,50,1,51,3,1,0.3,1
uct,50,2,2,-43.1,50,1,45,3,1,0.3,1
uct,50,2,3,-52,50,1,34,3,1,0.3,1
uct,50,2,4,-52.3,50,0,34,3,1,0.3,1
uct,50,2,5,-37.4,50,1,35,3,1,0.3,1
uct,50,2,6,-53.3,50,1,36,3,1,0.3,1
uct,50,2,7,-60.2,50,1,30,3,1,0.3,1
uct,50,2,8,-40.8,50,0,31,3,1,0.3,1
uct,50,2,9,-35.8,50,0,34,3,1,0.3,1
uct,50,2,10,-58.4,50,1,37,3,1,0.3,1
uct,50,2,1,-31.8,50,3,50,3,2,0.3,1
uct,50,2,2,-33.9,50,1,54,3,2,0.3,1
uct,50,2,3,-36.2,50,1,54,3,2,0.3,1
uct,50,2,4,-24.5,50,2,49,3,2,0.3,1
uct,50,2,5,-37.1,50,2,56,3,2,0.3,1
uct,50,2,6,-33.4,50,0,52,3,2,0.3,1
uct,50,2,7,-32.4,50,1,54,3,2,0.3,1
uct,50,2,8,-44.5,50,1,45,3,2,0.3,1
uct,50,2,9,-25.1,50,1,54,3,2,0.3,1
uct,50,2,10,-34.8,50,1,54,3,2,0.3,1
uct,50,2,1,-30.3,50,2,174,3,3,0.3,1
uct,50,2,2,-26.8,50,2,121,3,3,0.3,1
uct,50,2,3,-37.7,50,4,131,3,3,0.3,1
uct,50,2,4,-31.3,50,3,137,3,3,0.3,1
uct,50,2,5,-34.2,50,2,120,3,3,0.3,1
uct,50,2,6,-32.7,50,3,115,3,3,0.3,1
uct,50,2,7,-25.9,50,2,118,3,3,0.3,1
uct,50,2,8,-30.8,50,2,107,3,3,0.3,1
uct,50,2,9,-29.9,50,3,107,3,3,0.3,1
uct,50,2,10,-35.5,50,2,145,3,3,0.3,1
uct,50,2,1,-61.3,50,1,30,4,1,0.3,1
uct,50,2,2,-60.5,50,0,30,4,1,0.3,1
uct,50,2,3,-65.6,50,1,31,4,1,0.3,1
uct,50,2,4,-65.5,50,1,32,4,1,0.3,1
uct,50,2,5,-56.1,50,0,26,4,1,0.3,1
uct,50,2,6,-69.7,50,1,24,4,1,0.3,1
uct,50,2,7,-67.3,50,0,26,4,1,0.3,1
uct,50,2,8,-85.5,50,1,24,4,1,0.3,1
uct,50,2,9,-67.5,50,0,28,4,1,0.3,1
uct,50,2,10,-70.1,50,1,46,4,1,0.3,1
uct,50,2,1,-51.3,50,1,55,4,2,0.3,1
uct,50,2,2,-50.1,50,1,61,4,2,0.3,1
uct,50,2,3,-31.2,50,2,80,4,2,0.3,1
uct,50,2,4,-44.6,50,1,64,4,2,0.3,1
uct,50,2,5,-46.9,50,1,56,4,2,0.3,1
uct,50,2,6,-41.4,50,1,74,4,2,0.3,1
uct,50,2,7,-44.2,50,1,92,4,2,0.3,1
uct,50,2,8,-46.5,50,1,74,4,2,0.3,1
uct,50,2,9,-46.6,50,2,76,4,2,0.3,1
uct,50,2,10,-54.2,50,1,65,4,2,0.3,1
uct,50,2,1,-36.5,50,7,200,4,3,0.3,1
uct,50,2,2,-34.6,50,5,191,4,3,0.3,1
uct,50,2,3,-45,50,3,192,4,3,0.3,1
uct,50,2,4,-38.6,50,5,182,4,3,0.3,1
uct,50,2,5,-37.7,50,4,216,4,3,0.3,1
uct,50,2,6,-27.4,50,5,190,4,3,0.3,1
uct,50,2,7,-36.9,50,4,182,4,3,0.3,1
uct,50,2,8,-44.2,50,4,209,4,3,0.3,1
uct,50,2,9,-38.8,50,4,221,4,3,0.3,1
uct,50,2,10,-31.7,50,4,202,4,3,0.3,1
uct,50,2,1,-45.2,50,31,1054,4,4,0.3,1
uct,50,2,2,-33.7,50,23,975,4,4,0.3,1
uct,50,2,3,-36.1,50,31,1044,4,4,0.3,1
uct,50,2,4,-31.5,50,19,965,4,4,0.3,1
uct,50,2,5,-42.9,50,24,1000,4,4,0.3,1
uct,50,2,6,-34.9,50,44,935,4,4,0.3,1
uct,50,2,7,-31.1,50,24,950,4,4,0.3,1
uct,50,2,8,-27.5,50,17,899,4,4,0.3,1
uct,50,2,9,-38.7,50,25,914,4,4,0.3,1
uct,50,2,10,-37.7,50,20,981,4,4,0.3,1
uct,250,2,1,-8,50,1,41,1,1,0.3,1
uct,250,2,2,-8,50,1,39,1,1,0.3,1
