Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,1000,2,1,-8.0,50,121,1187,1,1,0.3,1
uct,1000,2,2,-8.0,50,23,484,1,1,0.3,1
uct,1000,2,3,-8.0,50,11,331,1,1,0.3,1
uct,1000,2,4,-8.0,50,6,200,1,1,0.3,1
uct,1000,2,5,-8.0,50,7,210,1,1,0.3,1
uct,1000,2,6,-8.0,50,8,162,1,1,0.3,1
uct,1000,2,7,-8.0,50,7,148,1,1,0.3,1
uct,1000,2,8,-8.0,50,7,145,1,1,0.3,1
uct,1000,2,9,-8.0,50,6,166,1,1,0.3,1
uct,1000,2,10,-8.0,50,9,225,1,1,0.3,1
uct,1000,2,1,-20.700000000000003,50,12,372,2,1,0.3,1
uct,1000,2,2,-20.700000000000003,50,8,351,2,1,0.3,1
uct,1000,2,3,-20.700000000000003,50,10,282,2,1,0.3,1
uct,1000,2,4,-20.700000000000003,50,7,283,2,1,0.3,1
uct,1000,2,5,-20.700000000000003,50,7,318,2,1,0.3,1
uct,1000,2,6,-20.700000000000003,50,8,242,2,1,0.3,1
uct,1000,2,7,-20.700000000000003,50,6,279,2,1,0.3,1
uct,1000,2,8,-20.700000000000003,50,7,306,2,1,0.3,1
uct,1000,2,9,-20.700000000000003,50,7,269,2,1,0.3,1
uct,1000,2,10,-22.900000000000006,50,6,228,2,1,0.3,1
uct,1000,2,1,-15.0,50,19,395,2,2,0.3,1
uct,1000,2,2,-15.2,50,9,304,2,2,0.3,1
uct,1000,2,3,-15.2,50,9,307,2,2,0.3,1
uct,1000,2,4,-15.399999999999999,50,7,286,2,2,0.3,1
uct,1000,2,5,-15.0,50,10,283,2,2,0.3,1
uct,1000,2,6,-15.2,50,7,262,2,2,0.3,1
uct,1000,2,7,-15.6,50,8,268,2,2,0.3,1
uct,1000,2,8,-15.499999999999998,50,8,268,2,2,0.3,1
uct,1000,2,9,-14.2,50,11,249,2,2,0.3,1
uct,1000,2,10,-15.0,50,6,255,2,2,0.3,1
uct,1000,2,1,-37.100000000000016,50,6,247,3,1,0.3,1
uct,1000,2,2,-51.30000000000002,50,10,267,3,1,0.3,1
uct,1000,2,3,-47.30000000000002,50,8,271,3,1,0.3,1
uct,1000,2,4,-41.100000000000016,50,7,241,3,1,0.3,1
uct,1000,2,5,-36.30000000000002,50,6,255,3,1,0.3,1
uct,1000,2,6,-43.20000000000002,50,8,239,3,1,0.3,1
uct,1000,2,7,-38.90000000000001,50,6,233,3,1,0.3,1
uct,1000,2,8,-36.90000000000001,50,7,223,3,1,0.3,1
uct,1000,2,9,-41.20000000000002,50,6,241,3,1,0.3,1
uct,1000,2,10,-35.000000000000014,50,5,221,3,1,0.3,1
uct,1000,2,1,-26.000000000000007,50,7,316,3,2,0.3,1
uct,1000,2,2,-25.1,50,7,321,3,2,0.3,1
